payee_id,payee_name,payee_legal_entity_id,payee_country,payee_category,payee_risk_score,payee_account_age_days
554ed52c-126a-a315-7b18-9d5d9b247a55,Pulse Corp,LEI-305222-CORP,BR,Retail,0.1123,2482
6a7330b3-ecfa-1700-6790-eee07dcfe924,Everest Partners,LEI-502692-PLC,US,Utilities,0.8951,54
299094c0-90cb-b982-eea0-0af96283f50f,Lumen Enterprises,LEI-367657-SA,CA,Technology,0.7597,93
ebe55cc4-08d5-7cf7-7a4c-38ef3e0ad66d,Meridian Pay,LEI-831351-CORP,US,Technology,0.1711,1190
17a15a60-c55e-6efb-1de2-0f2d03288b00,Cascade Group,LEI-840367-INC,CA,Gaming,0.0772,841
960952eb-61fe-6f28-e2fb-8d66a8928ad4,Forge Enterprises,LEI-889013-INC,US,Utilities,0.0739,2363
fcadb3fd-01a4-c2d1-4edf-aa12b2f240e3,Flux Corp,LEI-101655-INC,US,Education,0.1151,1810
7c89617d-32b1-792b-2263-960ab43c6fef,Quasar Systems,LEI-572552-LTD,US,Retail,0.1812,943
1feb21c7-60b2-d14b-15f0-e5ea4b0a4742,Crest Capital,LEI-458772-LLC,GB,Technology,0.2725,506
cab285dc-85b7-b774-3608-937418caa0a9,Cymbal Group,LEI-732275-GMBH,IN,Technology,0.1044,351
5c784ca4-f0e4-ca0b-3d56-3b0ed11ce5c8,Everest Group,LEI-740479-LLC,MX,Financial,0.2078,1471
de772156-1f76-043f-9a16-b8530692fe02,Crest Solutions,LEI-486326-PLC,GB,Entertainment,0.0098,748
71be0c72-ad8c-c85c-5355-9e80bc5e3e2f,Vortex Corp,LEI-519603-INC,US,Technology,0.1834,3487
8522496a-deaf-0fa9-24a6-3a6cb641d449,Nova Global,LEI-622112-INC,US,Entertainment,0.351,979
f1b7bd1e-c0d5-2828-2ba1-7f78362e17d4,Vertex Systems,LEI-556018-LLC,US,Financial,0.4695,1176
b118cad6-cba8-8a28-1727-30d87df102c2,Summit Solutions,LEI-703950-INC,DE,Healthcare,0.1796,3151
4253fb27-393a-a0a9-3bbd-f80ccef66a14,Orbit Services,LEI-191939-INC,US,Education,0.2814,1969
bca6a6b0-93b0-d27e-6154-7769f43dd740,Cymbal Services,LEI-164891-LTD,AU,Healthcare,0.0906,1463
65333140-1b49-3710-38de-44f1973d1855,Cymbal Industries,LEI-431272-CORP,AU,Travel,0.1132,2644
b3f5a21c-d3e7-8237-cd21-74d3d9606af0,Nova Holdings,LEI-423896-INC,US,Education,0.1835,2905
27177e59-5548-f613-cf69-ef2dfb2c2c83,Aether Solutions,LEI-834430-LLC,IN,Wholesale,0.3001,420
646cd3c1-8c45-fc9e-0585-5672fdb651a6,Summit Enterprises,LEI-810828-PLC,KR,Healthcare,0.231,832
52cb8f69-2182-b518-18e9-ef7764ce4589,Zenith Services,LEI-579757-CORP,GB,Technology,0.1771,2424
b9d859f5-5cba-d410-0256-8225a6b78891,Helix Global,LEI-494847-PTYLTD,DE,Wholesale,0.1721,3191
6f0eebef-97e8-9057-56a7-01aba66ccf43,Prism Group,LEI-356902-LLC,US,Healthcare,0.0921,2291
a894b11e-abb5-58e1-cb9a-6ed5fdbcebdb,Vertex Industries,LEI-957939-PTYLTD,US,Entertainment,0.2511,3013
1834a40d-becf-dded-b198-047f4612d424,Quasar Group,LEI-607711-PTYLTD,US,Wholesale,0.0681,2144
2f54f0e5-899a-5349-cb93-dab6dcb9d394,Everest Pay,LEI-512925-PLC,US,Utilities,0.4722,495
dcac41f8-2e40-01c1-1e09-14d2e5c943b1,Quasar Pay,LEI-681667-PLC,JP,Services,0.3092,2877
41bb0e0d-8fff-c06d-167b-6ea029451370,Nova Capital,LEI-230775-GMBH,US,Food & Beverage,0.6513,364
23cd8a44-71e6-4bce-88ba-ef4aa8be8d1f,Eagle Holdings,LEI-648055-SA,GB,Food & Beverage,0.0593,1381
f519ab52-3718-31f3-d527-189bdb2865da,Pulse Payments,LEI-720529-SA,US,Education,0.0863,1407
4111e681-f1da-833d-1550-239074c0db3e,Sterling Global,LEI-661936-LTD,US,Education,0.0619,1818
29feba14-9add-a7c8-82ec-e8aad20cd375,Pacific Global,LEI-431727-PTYLTD,US,Utilities,0.2128,2833
e8c44e4c-5ce1-bcc2-16c7-02a1a3e2ac17,Summit Networks,LEI-253437-LTD,US,Services,0.1034,1529
7d57a51f-ce8a-5306-d243-8d1b96bd5e9f,Helix Partners,LEI-834480-GMBH,GB,Utilities,0.0976,1435
2e408d57-63ba-6c3d-c07a-be48f24e7fd6,Pinnacle Group,LEI-600025-CORP,US,Entertainment,0.4668,192
f978d269-a3a2-2f35-b9b5-13c7eb1efddc,Meridian Solutions,LEI-811160-PTYLTD,FR,Wholesale,0.0966,396
ec7ef0ab-e1a2-9ffa-b7ed-70cff111be9e,Vortex Services,LEI-766511-INC,IN,Healthcare,0.1827,2312
15a75ed9-0eb2-858f-9347-f4862a44da88,Beacon Corp,LEI-947613-LLC,MX,Healthcare,0.5588,563
30afe613-9dc4-f583-038e-f7af67ccfa38,Cymbal Enterprises,LEI-836720-SA,US,Education,0.1705,690
c3828725-e1c6-3384-ee20-a0b5acad7c07,Vortex Digital,LEI-178771-SA,AU,Food & Beverage,0.6969,870
d4ec0595-3ff0-9d13-add7-1599e9fedd48,Orbit Services,LEI-413710-PLC,US,Gaming,0.065,1564
edda1677-4e08-ab81-ec4d-6c0037abaaf8,Nova Industries,LEI-747756-PLC,US,Retail,0.9199,57
19f145cc-0244-e4d7-5ac2-a17666edef30,Sterling Corp,LEI-307140-INC,CA,Wholesale,0.3917,942
89534e15-2ea3-7b78-e466-c9376da7c95b,Crest Systems,LEI-559876-PLC,US,Financial,0.3407,1672
6bca4f86-6500-f793-2238-dfc60a4e3ccf,Summit Finance,LEI-268099-LTD,IN,Entertainment,0.0101,1346
c7c432a0-c3af-3d93-c047-6d80532bd70a,Everest Group,LEI-237801-INC,MX,Retail,0.0732,701
2fd6129a-82e0-9d39-bab0-08df2709f5b2,Solaris Networks,LEI-903972-INC,SG,Education,0.3078,2709
9758a25f-dad8-e2da-fe17-ddb3304c9c7b,Prism Solutions,LEI-226312-CORP,US,Travel,0.2498,922
3b3ed7bd-fae9-6dd3-a220-9a31b33d9c7c,Vortex Holdings,LEI-546772-PLC,US,Healthcare,0.4116,1435
0c2ca7fa-e525-aeaf-51e1-17993f39562d,Quasar Finance,LEI-100561-LLC,DE,Financial,0.1651,1892
1c8d23b4-4dea-5200-5593-83cf5d13a906,Helix Pay,LEI-816137-CORP,US,Education,0.292,2192
1654c83f-6251-0f01-9596-77e935c4be08,Helix Global,LEI-760140-INC,US,Entertainment,0.2925,1310
796512e3-b9b0-94ac-4d2d-8efd57c8294c,Lumen Global,LEI-145939-CORP,US,Food & Beverage,0.1623,2715
a13ecf15-72cf-bb0e-5db2-f6cee5190530,Orbit Enterprises,LEI-170997-PLC,US,Food & Beverage,0.3521,1602
1332406f-f8b6-bdee-8373-edf3dec91438,Flux Industries,LEI-887195-PTYLTD,GB,Healthcare,0.0632,2360
ca67d562-edba-84d1-e110-4d910244bc44,Sapphire Networks,LEI-418148-LTD,US,Travel,0.1783,3033
88db3692-35c0-c003-d2cb-03ebfd523fad,Orbit Pay,LEI-780154-SA,DE,Financial,0.0607,1199
a845f723-8992-4e2d-0400-e249f8bb1616,Helix Group,LEI-785584-GMBH,SG,Entertainment,0.0966,1228
653d171f-c0bd-e748-dbb4-64a3cec79642,Prism Industries,LEI-342979-PTYLTD,US,Technology,0.1218,2759
30591fbc-2d15-94cb-dcc3-1cb2d0cb079f,Eagle Digital,LEI-779020-GMBH,US,Wholesale,0.5135,124
a52680b3-e8bc-d007-747c-76903ec8f48e,Everest Systems,LEI-859490-CORP,FR,Retail,0.4644,1926
3f936724-21d6-7c73-0b32-8c23ef470a44,Vertex Networks,LEI-249564-LLC,JP,Retail,0.1113,2819
901704a8-c279-d913-7afd-292323a49571,Titan Digital,LEI-422316-SA,CA,Gaming,0.08,1008
d32e4757-056d-e195-1f81-e0978b2a3730,Nova Systems,LEI-671098-GMBH,US,Healthcare,0.6922,351
b7007ce3-e25c-7f9c-afcf-ea4d627e91e1,Orbit Corp,LEI-277795-INC,US,Travel,0.1516,2983
6dba9754-2d95-d98d-26ae-af299ac0ee26,Summit Digital,LEI-812437-PTYLTD,US,Entertainment,0.1472,357
cc76864a-b618-31c5-e830-257dcf8b4eb2,Stratos Pay,LEI-255863-CORP,US,Healthcare,0.2514,1267
20a62edf-fea9-5b73-52b3-a0d117278924,Quasar Group,LEI-469737-SA,CA,Technology,0.3724,772
6b2d470a-6218-6d10-3ef3-d5beebee4c80,Eagle Corp,LEI-658339-LTD,US,Utilities,0.1965,2858
340a22d7-00bb-d543-5c98-fd573c359ce2,Apex Partners,LEI-685498-PLC,MX,Services,0.1544,537
d1aaab53-c755-66c2-dde4-cd87d96da200,Pulse Services,LEI-582752-CORP,AU,Food & Beverage,0.5723,464
5f26b2a6-6cb9-b655-f704-8d14b2351615,Zenith Systems,LEI-794940-INC,CA,Utilities,0.0649,287
be59d035-7842-8071-2eb3-5f6ac3f26a39,Pulse Services,LEI-593024-PTYLTD,FR,Technology,0.0304,793
80d7f805-2c6f-c084-c04a-3f689aab1efb,Flux Pay,LEI-515645-PTYLTD,DE,Technology,0.3837,311
f91e8b9b-4596-7e76-2824-162dee7385d8,Vertex Group,LEI-231211-LTD,US,Retail,0.3835,1915
502d3281-7a37-f3d6-77eb-6d89b142de87,Everest Group,LEI-272830-LLC,JP,Entertainment,0.0904,3524
29aaaa7e-483e-b6a1-3d51-d528072e35dd,Helix Capital,LEI-322203-LLC,JP,Travel,0.14,1554
fc8ade6a-9051-385e-0b7c-e5c690968629,Coral Finance,LEI-150382-SA,US,Travel,0.132,2515
31e3e608-800e-2952-65ec-4424f56febb1,Atlas Group,LEI-860939-SA,MX,Education,0.8678,43
cbcb3293-9651-2240-0610-3d842672a20c,Cascade Corp,LEI-714841-LLC,US,Wholesale,0.1424,3354
fe508d4d-293a-60be-b7f3-30adc4d1c310,Summit Industries,LEI-923501-CORP,US,Financial,0.0778,756
91206a37-2703-c75d-f540-838e13331679,Eagle Systems,LEI-943816-LLC,US,Travel,0.3629,2665
5d0314d8-9396-4405-47b5-c4cd11730df2,Pinnacle Capital,LEI-174589-CORP,FR,Technology,0.0731,841
919883f9-f8c0-1007-1fbc-4004f098aa1f,Eagle Finance,LEI-481128-GMBH,US,Utilities,0.1241,755
8185716a-69c7-18ee-aea4-b7d6155fa2f4,Titan Networks,LEI-815711-LLC,GB,Entertainment,0.0509,1710
279163f4-0208-8c91-8f90-9d9dd23c7585,Helix Services,LEI-494077-CORP,GB,Services,0.7267,388
1bef39f1-7700-9b2e-d17b-6fc6e66eb0e2,Vertex Digital,LEI-867324-INC,BR,Healthcare,0.4735,2371
79e984e1-bdc4-d680-b3c9-5502366f4268,Orbit Networks,LEI-576660-LLC,GB,Technology,0.1202,2171
36a2bf69-7931-5fc6-fa82-f65d6e1babe2,Zenith Payments,LEI-124057-PTYLTD,US,Entertainment,0.1916,3414
36cf9429-8657-d8ff-6b72-e451df0ccde7,Nimbus Digital,LEI-970893-LLC,US,Healthcare,0.1417,2029
5acd1e90-6fd1-134e-b25a-4809f730e52e,Cascade Pay,LEI-688155-LTD,US,Entertainment,0.1518,838
03a1beac-5107-256e-bbae-2fbdbc99a291,Prism Industries,LEI-254650-PLC,SG,Services,0.0568,3560
730733d5-a261-078d-202f-00a8db75dada,Helix Finance,LEI-329242-LTD,US,Food & Beverage,0.229,3589
5ec91fdc-03ad-d1a4-f481-b9cb93ab8d5e,Meridian Pay,LEI-416611-GMBH,CA,Services,0.3084,2963
c3dc5b92-f95c-a96d-85ee-751c6d0473e7,Summit Systems,LEI-284354-PLC,US,Wholesale,0.2813,2401
b3bc5791-4882-f6eb-a254-da126fff95cc,Helix Capital,LEI-945089-INC,US,Retail,0.1096,2966
94cbb94e-80dc-4cf9-71b0-c1faa22eb45b,Nova Services,LEI-993077-PTYLTD,US,Technology,0.1325,588
bdbc34f8-c8dd-d9bb-b42e-8714a51581ba,Everest Pay,LEI-492842-LTD,CA,Travel,0.0514,3540
6a2062aa-e8b8-1813-e672-abf50110783e,Nova Pay,LEI-127521-CORP,JP,Food & Beverage,0.0889,1169
31523136-6430-5373-f936-a9688e44f2f8,Everest Finance,LEI-940257-PTYLTD,US,Entertainment,0.1227,1170
20572e73-cd19-9b5e-b5c4-3078197df05f,Orbit Group,LEI-983981-GMBH,AU,Wholesale,0.3496,1126
b523b1f3-9e3b-c735-071f-1a27272e31b1,Vertex Group,LEI-126518-CORP,KR,Entertainment,0.1083,2610
c5386208-60cb-9e17-c93a-7471ce9def4e,Nimbus Finance,LEI-388321-INC,IN,Entertainment,0.1468,3374
988c89db-ed5c-ea4e-7589-64f51c66021e,Orbit Systems,LEI-248725-GMBH,US,Wholesale,0.9871,20
640b7b85-353d-aedc-d69b-deb1e9a7f5e0,Helix Corp,LEI-934080-LLC,US,Technology,0.623,215
4c7b34e2-2e07-cb63-293e-16b3cefd1224,Cymbal Digital,LEI-791710-LLC,US,Financial,0.0633,2026
315e4e80-1f20-c257-ed34-8e324126fa8f,Apex Pay,LEI-643157-CORP,US,Financial,0.1867,3217
ba4d6c8e-155c-8139-3842-43b42378ff44,Pulse Networks,LEI-386960-PLC,US,Services,0.5259,197
316c00bc-ec1f-0155-6662-9bd2f243b5c6,Nimbus Digital,LEI-307488-GMBH,MX,Services,0.176,2279
6c7a0c9d-7237-64ba-e202-f0226ef7ffc3,Crest Holdings,LEI-753169-INC,GB,Healthcare,0.2595,2178
963d101f-40c8-c7a3-82e8-47aef545dfb3,Pacific Services,LEI-733216-SA,US,Services,0.1065,318
c78e4415-2521-51f9-5f39-0d2b5f25210e,Atlas Systems,LEI-110100-SA,DE,Education,0.1593,2870
86faaa83-3651-1c93-9a0f-b0b8489af195,Aether Systems,LEI-688207-GMBH,FR,Entertainment,0.1161,1759
515a3eea-6f69-a1cf-c196-66e9aea03292,Atlas Payments,LEI-306698-LLC,JP,Technology,0.7624,245
99f75c76-2bcf-d03f-73e9-b99b1fc489b3,Atlas Group,LEI-347906-LLC,US,Entertainment,0.546,91
784aee43-11c7-beb2-042a-6bd7a51004b8,Helix Enterprises,LEI-858386-GMBH,US,Financial,0.181,1561
d94296b6-7e4b-4f10-745f-780efbe5403b,Orbit Partners,LEI-747995-INC,US,Retail,0.2021,3032
b95f22d5-30ef-d76b-1688-43992b91aace,Meridian Pay,LEI-821673-LLC,US,Retail,0.0516,1107
9cdd39a7-b01b-a134-544e-e74343839f12,Cascade Networks,LEI-832603-CORP,IN,Utilities,0.7815,68
1f53db6e-ab11-7736-7260-282fa30c1e0e,Solaris Corp,LEI-793390-PLC,MX,Financial,0.0578,1872
3e0c5ec5-df74-8fb5-d5e6-162f8efadaa1,Aether Capital,LEI-178794-PLC,US,Retail,0.1502,1625
8390bd94-8713-b81f-c2f8-6229972c8583,Atlas Services,LEI-842929-PLC,DE,Food & Beverage,0.1904,3514
73d2939e-f99d-d6d5-62b5-17815d17c25d,Lumen Group,LEI-297083-INC,US,Wholesale,0.4955,499
444a2a48-2fe1-2ed8-75fa-0ebee4e39c20,Apex Corp,LEI-794037-PLC,US,Services,0.1096,247
45c86249-70fb-b28e-0d9b-b3b5556ff3c1,Meridian Systems,LEI-151521-PTYLTD,FR,Healthcare,0.0896,2260
0cc46000-ae60-8948-1bf3-84ef6efe2368,Solaris Systems,LEI-330246-INC,US,Retail,0.1217,2304
649423aa-6454-16be-6791-346cb7403274,Helix Solutions,LEI-869575-GMBH,CA,Wholesale,0.1411,3045
b3521505-e864-6e0c-80d4-58b92f615360,Coral Services,LEI-993978-LTD,US,Entertainment,0.1358,566
034296fa-f655-8f35-244f-35c674890e8c,Coral Enterprises,LEI-450281-LLC,US,Travel,0.5156,490
d1a529db-0b90-b03d-1c00-b89578fa3b84,Apex Services,LEI-975937-LTD,CA,Wholesale,0.0935,1193
d3e763d1-0378-bcb7-7570-b0ac5d4210d5,Pinnacle Services,LEI-844653-SA,BR,Entertainment,0.1892,1218
bdb2fd9e-93dc-8eea-3e8e-e36a07e95e6d,Sterling Partners,LEI-316329-INC,US,Healthcare,0.0602,2219
add74b0f-e90b-3651-43eb-4ff02cc9abb6,Pinnacle Holdings,LEI-510020-PTYLTD,IN,Travel,0.2887,2338
f7d8e086-9110-c9fd-747c-b18fcb9aefff,Pinnacle Services,LEI-215543-LLC,CA,Entertainment,0.0458,1955
108ab4de-49cb-6790-7ca0-8cde4dbbb7cd,Beacon Pay,LEI-575904-LLC,US,Utilities,0.328,846
e0f3ee66-59a7-e6e4-2341-89c5405df186,Beacon Global,LEI-190181-GMBH,US,Education,0.2217,384
a3155bbb-adb2-31a2-cfcc-2abd3facabcc,Cascade Enterprises,LEI-518500-INC,BR,Travel,0.2975,1632
4001570a-3312-de73-c485-63a3aeee2302,Pulse Enterprises,LEI-681208-LTD,US,Services,0.0577,750
5b88fc72-b66c-db02-af66-dc57ef544897,Sapphire Partners,LEI-548443-PLC,US,Healthcare,0.0931,2243
e660a8e0-8b13-b689-9ef2-a148209515d5,Beacon Finance,LEI-892026-PTYLTD,US,Entertainment,0.0591,1708
15ac37f0-0de9-a283-d6d5-aed275d106f2,Zenith Networks,LEI-970207-INC,US,Services,0.9534,73
8429e12c-347f-1a8c-b39a-442b0d92bc7e,Prism Corp,LEI-243028-LTD,BR,Entertainment,0.2104,3116
9a920655-272c-7482-0002-572a113038f5,Orbit Systems,LEI-359214-LTD,US,Retail,0.135,649
d904b887-d77b-03b3-3c24-3b45d1fd4711,Nimbus Industries,LEI-790130-INC,US,Entertainment,0.2677,933
b31add22-bddd-bd36-82f2-a59e2bb7f146,Lumen Corp,LEI-603805-GMBH,US,Services,0.8269,37
6cc1da4d-d041-1dec-6ab9-ba0f76c6533e,Prism Pay,LEI-397189-PLC,US,Healthcare,0.2161,619
9eb03954-a83d-b2df-e4aa-212aa68213c7,Titan Finance,LEI-471958-CORP,CA,Education,0.8575,89
2cabd3d7-1011-6af4-8356-ed6163fff4b5,Prism Partners,LEI-787796-SA,CA,Wholesale,0.2604,2330
78c4c27f-f66a-015b-6063-cb327bd6b0b5,Quasar Networks,LEI-235708-SA,GB,Utilities,0.3541,2822
1b314321-aa4e-8b03-18b6-dfc73b50f94f,Eagle Corp,LEI-439381-LTD,KR,Education,0.4205,831
9ca5b74f-0fda-6ca4-107a-8bccec20d201,Nimbus Systems,LEI-139235-INC,US,Financial,0.0534,1900
92e33940-a32c-5e99-fd26-a41b221a7c4e,Lumen Payments,LEI-364760-PLC,US,Travel,0.4421,1726
f5b79271-a10d-b956-0634-caf6950506dd,Helix Payments,LEI-134853-CORP,BR,Financial,0.3089,532
30accfda-7f05-5b10-8735-2231a4695757,Aether Corp,LEI-625179-SA,US,Food & Beverage,0.2579,3163
846a4a71-c84a-89b8-208f-ae0214013b99,Forge Systems,LEI-223655-PLC,US,Utilities,0.329,2511
df5864d5-1165-5b1e-5b9f-acdeb409b855,Flux Services,LEI-178409-LTD,AU,Utilities,0.0345,1779
43577225-fc24-a159-eada-2885efda70bf,Apex Finance,LEI-454466-PTYLTD,US,Financial,0.1373,2109
0ff4c2d6-e0d6-5081-e98d-c5f7a9d06567,Solaris Corp,LEI-176453-LLC,US,Services,0.0333,3282
1aa3c18e-0aaf-8962-b92c-23e3454009f2,Nova Corp,LEI-632261-LTD,DE,Healthcare,0.371,710
32387a5a-cfb5-7f2e-c825-85fac60b846e,Cascade Pay,LEI-679334-PLC,US,Healthcare,0.417,287
5a0ed9b7-5e22-27d4-e74f-232bfb876271,Lumen Holdings,LEI-557729-LLC,US,Services,0.2542,2701
03d06453-cd40-9bc9-fdae-29200bb8382f,Solaris Finance,LEI-180333-LLC,US,Wholesale,0.0673,2506
a8575900-7a8c-2c36-65d7-71639b2aeea6,Orbit Capital,LEI-180088-GMBH,IN,Gaming,0.0849,711
a7553468-de74-e122-4aed-4cc88d28eef5,Solaris Networks,LEI-434347-INC,US,Healthcare,0.2627,3375
8d8f2868-bded-b9cc-4e10-7ed63b046707,Aether Systems,LEI-490479-CORP,US,Gaming,0.3215,2313
625966cc-9696-e833-4728-ddf64532499e,Forge Capital,LEI-162621-GMBH,SG,Healthcare,0.3775,318
8aa2f756-0803-ad31-4e1e-2f3da91022b8,Pinnacle Pay,LEI-738309-SA,IN,Travel,0.0587,394
baae905c-c859-4dfb-6d73-dd1ddda1497a,Zenith Systems,LEI-680170-PTYLTD,IN,Entertainment,0.2682,1957
ecb697a2-fe1b-e3e9-bee1-dc6577a319c6,Solaris Global,LEI-115920-GMBH,JP,Travel,0.1331,1741
650495b5-9232-78bf-5668-85304bbb2e9a,Nova Networks,LEI-479264-GMBH,DE,Entertainment,0.5375,307
76751903-719d-722f-2dc4-d065d8fbd542,Apex Industries,LEI-109301-PLC,US,Financial,0.2308,1263
2e07a11f-70c0-a4f6-1065-2764f40b0779,Nimbus Networks,LEI-372148-PLC,US,Entertainment,0.0606,1466
70b81530-dc4e-557f-81b8-5934af378cf9,Atlas Finance,LEI-680290-LTD,US,Education,0.5064,934
81c6af40-13d5-ac4f-1bf2-235c5987e1e6,Titan Systems,LEI-635859-INC,US,Financial,0.3895,1141
9b622c0a-5398-2922-0652-62a224a0db6e,Meridian Holdings,LEI-527963-SA,CA,Travel,0.5469,1339
94dc4c97-c891-4d99-8218-3bb9bdf68eb0,Pinnacle Payments,LEI-497242-LLC,DE,Wholesale,0.0206,3378
6b074c79-bbe4-3aa7-8c58-fff0a15cf032,Orbit Finance,LEI-736592-PLC,DE,Food & Beverage,0.076,2532
5ca9bc53-fa3b-c921-c484-4743cc8ba760,Vortex Industries,LEI-430108-INC,DE,Technology,0.1499,1175
6b39c4dc-c94b-3a6f-72ef-917e3af834f2,Vortex Global,LEI-663731-LTD,JP,Healthcare,0.087,2658
81496136-6bc8-22f4-6893-a38a14dd9314,Prism Corp,LEI-763360-LTD,BR,Technology,0.2076,663
ee1caec8-b61d-1f43-8df8-dff9c3f86f2d,Coral Systems,LEI-232537-LLC,AU,Retail,0.8229,40
e5bdbb3e-5639-117a-1e78-ba024b1bbb3a,Summit Systems,LEI-857260-LLC,US,Financial,0.4496,3096
96ed4815-c415-ac73-b944-e4692ef6a152,Vertex Global,LEI-108161-SA,DE,Technology,0.2545,3184
57537534-7e48-7b1c-4c1f-088f3b759faa,Zenith Enterprises,LEI-399113-SA,US,Wholesale,0.1651,576
e12c6678-933c-3b76-473b-ccd484e6078f,Atlas Systems,LEI-464218-GMBH,US,Travel,0.0238,1943
3b4f068e-ecad-122d-1b2a-a4e4c0e354e7,Crest Global,LEI-200638-LTD,GB,Food & Beverage,0.215,2662
85594d77-71e0-07b0-bb6a-36476d2f458d,Pulse Industries,LEI-409268-INC,FR,Services,0.0433,2519
5a8d785e-f7eb-a7e9-1dd0-7ec8ab30f1b1,Vertex Solutions,LEI-862693-INC,US,Food & Beverage,0.1169,3176
09d1c11f-ecbb-1aac-e46b-f89a5097621a,Sterling Systems,LEI-839354-SA,US,Food & Beverage,0.1572,2997
485873c1-7f29-7630-bbca-a2102fe61a89,Pulse Payments,LEI-765607-INC,IN,Education,0.101,3513
957a66e5-a18a-f1fd-615a-b3419d065ae8,Solaris Partners,LEI-607755-CORP,SG,Gaming,0.2979,1257
380bd4cb-18b6-66f8-4ba0-768a7b2021f7,Orbit Services,LEI-539976-PLC,US,Entertainment,0.246,2405
e1d5fcea-c610-024b-20c8-667fb46f0145,Coral Corp,LEI-730255-PTYLTD,DE,Retail,0.0795,1810
7123bc96-cf1c-a021-6431-5fc269464f3f,Sterling Group,LEI-373363-LLC,US,Education,0.1566,1480
a012c6c2-c790-b84c-34c9-93ae8938279c,Orbit Holdings,LEI-235492-LLC,IN,Retail,0.2671,862
84c62e4b-0c99-5e2d-a7a9-98ab103f3a46,Aether Partners,LEI-661483-LTD,KR,Food & Beverage,0.0347,2444
3fab0c74-bbbb-cccc-8d8e-352b37328d15,Cymbal Finance,LEI-986552-LLC,JP,Food & Beverage,0.3961,1873
4d2ce796-4878-917a-282d-94a30ad33361,Apex Solutions,LEI-762233-LTD,US,Education,0.5893,278
12ea7890-1397-4770-15bd-18badcaaf6a5,Pacific Pay,LEI-115457-CORP,US,Utilities,0.4616,1285
